Name,Address
Boba Guys,"11 Waverly Pl New York, NY 10002"
Bubble Tea & Crepes,"251 5th Ave, New York, NY 10016"
Bubbly Tea,"55B Bayard St New York, NY 10013"
Cafe East,"2920 Broadway, New York, NY 10027"
Coco Bubble Tea,"129 E 45th St New York, NY 10017"
Coco Bubble Tea,"1384 Broadway, New York, NY 10018"
Coco Bubble Tea,"33 St Mark's Pl New York, NY 10003"
Coco Bubble Tea,"38 Lexington Ave New York, NY 10010"
Coco Bubble Tea,"79 Division St New York, NY 10002"
Coco Bubble Tea,"118 W 72nd St New York, NY 10023"
Culture Tea Bar,"3111 Broadway, New York, NY 10027"
Gong Cha,"12 W 32nd St New York, NY 10001"
Gong Cha,"209 E 14th St New York, NY 10003"
Gong Cha,"75 W 38th St, New York, NY 10018"
Gong Cha,"1 Catherine St New York, NY 10038"
Happy Tea Time,"98 Walker St New York, NY 10013"
Hawa Smoothies & Bubble Tea,"422 E 14th St New York, NY 10009"
Juicy Cube,"674 Lexington Ave, New York, NY 10022"
Jupioca,"123 W 3rd St New York, NY 10012"
Jupioca,"200 W14th St New York, NY 10011"
Jupioca,"113 Church St New York, NY 10007"
Kung Fu Tea,"11 West 32nd St New York, NY 10001"
Kung Fu Tea,"28 St Marks Pl New York, NY 10003"
Kung Fu Tea,"31 Waverly Pl New York, NY 10003"
Kung Fu Tea,"73 Chrystie St New York, NY 10002"
Kung Fu Tea,"315 Greenwich St New York, NY 10013"
Kung Fu Tea,"234 Canal St New York, NY 10013"
Loving Tea,"196 Canal St New York, NY 10013"
Nohohon Tea,"9 St Marks Pl New York, NY 10003"
Panda Cafe,"124A Hester St New York, NY 10002"
PaTea,"227 E 14th St, New York, NY 10003"
PaTea,"135 Mott St New York, NY 10013"
Puff Cha Ramen,"457 W 50th St New York, NY 10019"
Shiny Tea,"2667 Broadway, New York, NY 10025"
Smoocha Tea & Juice Bar,"315 5th Ave New York, NY 10016"
Tea Magic,"2878 Broadway New York, NY 10025"
Tea Ren Tea,"73 Mott St New York, NY 10013"
Teado Tea Shop,"145D Hester St New York, NY 10002"
Vivi Bubble Tea,"170 W 23rd St, New York, NY 10011"
Vivi Bubble Tea,"18 W 14th St New York, NY 10011"
Vivi Bubble Tea,"183 Hester St New York, NY 10013"
Vivi Bubble Tea,"205 Allen St New York, NY 10002"
Vivi Bubble Tea,"226 E 14th St New York, NY 10003"
Vivi Bubble Tea,"607 9th Ave, New York, NY 10036"
Vivi Bubble Tea,"65 W 8th St New York, NY 10011"
Vivi Bubble Tea,"49 Bayard St New York, NY 10013"
Vivi Bubble Tea,"2 E Broadway New York, NY 10038"
Yaya Tea Garden,"206 Grand St New York, NY 10013"
Harmony,"390 Manhattan Ave New York, NY 10026"
Balloon,"61 Lexington Ave, New York, NY 10010"